,Function Evaluations,Hypervolume
0,5000,0.7321313101699845
1,5020,0.7321313101699845
2,5040,0.7321313101699845
3,5060,0.7321313101699845
4,5080,0.7321313101699845
5,5100,0.7321313101699845
6,5120,0.7321313101699845
7,5140,0.7339095321330723
8,5160,0.7339095321330723
9,5180,0.7339095321330723
10,5200,0.7339095321330723
11,5220,0.7339095321330723
12,5240,0.7339095321330723
13,5260,0.7339095321330723
14,5280,0.7339095321330723
15,5300,0.7361249063314153
16,5320,0.7361249063314153
17,5340,0.7361249063314153
18,5360,0.7364696227835447
19,5380,0.7364696227835447
20,5400,0.7364696227835447
21,5420,0.7390459086403188
22,5440,0.7390459086403188
23,5460,0.7390459086403188
24,5480,0.7414146725253465
25,5500,0.7414146725253465
26,5520,0.7414146725253465
27,5540,0.7414146725253465
28,5560,0.7422528292777519
29,5580,0.7422528292777519
30,5600,0.7422528292777519
31,5620,0.7429619913332517
32,5640,0.7429619913332517
33,5660,0.7429619913332517
34,5680,0.7429635760381975
35,5700,0.7429635760381975
36,5720,0.7429635760381975
37,5740,0.7429635760381975
38,5760,0.7429635760381975
39,5780,0.7429635760381975
40,5800,0.7430627489839239
41,5820,0.7430627489839239
42,5840,0.743085048076221
43,5860,0.7432423049229536
44,5880,0.7448662657932223
45,5900,0.7448662657932223
46,5920,0.7448722034640717
47,5940,0.7454774833657919
48,5960,0.7454774833657919
49,5980,0.7454774833657919
50,6000,0.7454774833657919
51,6020,0.7454774833657919
52,6040,0.7454774833657919
53,6060,0.7454774833657919
54,6080,0.7454774833657919
55,6100,0.7455640420286308
56,6120,0.7455640420286308
57,6140,0.7455647517244628
58,6160,0.7460576589933381
59,6180,0.7460576589933381
60,6200,0.7460576589933381
61,6220,0.7460576589933381
62,6240,0.7460576589933381
63,6260,0.7460576589933381
64,6280,0.7516658672088178
65,6300,0.7516658672088178
66,6320,0.7516658672088178
67,6340,0.7517293198200067
68,6360,0.7517293198200067
69,6380,0.7612399295177898
70,6400,0.7612399295177898
71,6420,0.7612399295177898
72,6440,0.7612399295177898
73,6460,0.7630684374906784
74,6480,0.7630684374906784
75,6500,0.7630684374906784
76,6520,0.7630684374906784
77,6540,0.7630684374906784
78,6560,0.766907773332281
79,6580,0.7669108433920838
80,6600,0.7669108433920838
81,6620,0.7669108433920838
82,6640,0.7673220914026716
83,6660,0.7673220914026716
84,6680,0.7675038178202349
85,6700,0.7688786670283536
86,6720,0.7688846701902536
87,6740,0.7688846701902536
88,6760,0.7688846701902536
89,6780,0.7693070600228655
90,6800,0.7693070600228655
91,6820,0.7693070600228655
92,6840,0.7693070600228655
93,6860,0.7695739560804467
94,6880,0.7695739560804467
95,6900,0.7695739560804467
96,6920,0.7698850724527322
97,6940,0.7698874142738865
98,6960,0.769890669352399
99,6980,0.769890669352399
100,7000,0.7703060805701252
101,7020,0.7705451888708166
102,7040,0.7705451888708166
103,7060,0.7705451888708166
104,7080,0.7706846302467036
105,7100,0.7706846302467036
106,7120,0.7706846302467036
107,7140,0.7706846302467036
108,7160,0.7706846302467036
109,7180,0.7706846302467036
110,7200,0.7706996465139611
111,7220,0.7706996465139611
112,7240,0.7711985937275401
113,7260,0.7711985937275401
114,7280,0.7720214081966952
115,7300,0.77343662107735
116,7320,0.7754169065385363
117,7340,0.7754169065385363
118,7360,0.7754169065385363
119,7380,0.7781668171660711
120,7400,0.7781668171660711
121,7420,0.7781815057897749
122,7440,0.7781815057897749
123,7460,0.7781815057897749
124,7480,0.7781815057897749
125,7500,0.7781815057897749
126,7520,0.7782812725668445
127,7540,0.7782812725668445
128,7560,0.7782812725668445
129,7580,0.7782812725668445
130,7600,0.7782812725668445
131,7620,0.7782812725668445
132,7640,0.7782812725668445
133,7660,0.7782812725668445
134,7680,0.7789725357990825
135,7700,0.7789725357990825
136,7720,0.7789725357990825
137,7740,0.7789725357990825
138,7760,0.784995214371595
139,7780,0.784995214371595
140,7800,0.784995214371595
141,7820,0.7859930037494188
142,7840,0.7864441270426002
143,7860,0.7864441270426002
144,7880,0.7873989047149532
145,7900,0.7874143793375692
146,7920,0.7874143793375692
147,7940,0.7876041188159145
148,7960,0.7876041188159145
149,7980,0.7876145127616221
150,8000,0.7876145127616221
151,8020,0.7876145127616221
152,8040,0.7883675680942943
153,8060,0.7883675680942943
154,8080,0.7883675680942943
155,8100,0.7897903639849595
156,8120,0.7897903639849595
157,8140,0.7897903639849595
158,8160,0.7897903639849595
159,8180,0.7897903639849595
160,8200,0.7906358921312775
161,8220,0.7906358921312775
162,8240,0.7906358921312775
163,8260,0.7906957724654791
164,8280,0.7910391574993668
165,8300,0.7913928491303519
166,8320,0.7913928491303519
167,8340,0.7922759948809753
168,8360,0.7922759948809753
169,8380,0.7922759948809753
170,8400,0.7922759948809753
171,8420,0.7922819484323201
172,8440,0.7922819484323201
173,8460,0.7923498754194281
174,8480,0.7923573933633971
175,8500,0.79291594646015
176,8520,0.7931437932348806
177,8540,0.793342466819885
178,8560,0.793342466819885
179,8580,0.793342466819885
180,8600,0.793342466819885
181,8620,0.793342466819885
182,8640,0.793342466819885
183,8660,0.79334657462622
184,8680,0.79334657462622
185,8700,0.79334657462622
186,8720,0.79334657462622
187,8740,0.79334657462622
188,8760,0.7948860130163525
189,8780,0.7948860130163525
190,8800,0.7949379697281301
191,8820,0.7967805468546836
192,8840,0.7967805468546836
193,8860,0.7968375172879059
194,8880,0.7968375172879059
195,8900,0.7968375172879059
196,8920,0.7968375172879059
197,8940,0.7968375172879059
198,8960,0.7968375172879059
199,8980,0.8028703298874302
200,9000,0.8029921055365632
201,9020,0.8035361689635987
202,9040,0.8035361689635987
203,9060,0.8035361689635987
204,9080,0.8035361689635987
205,9100,0.8108800816480555
206,9120,0.8108806172972993
207,9140,0.8108806172972993
208,9160,0.8108806172972993
209,9180,0.8108806172972993
210,9200,0.8108806172972993
211,9220,0.811154402257455
212,9240,0.811154402257455
213,9260,0.811154402257455
214,9280,0.811154402257455
215,9300,0.811154402257455
216,9320,0.8113686554466457
217,9340,0.8113686554466457
218,9360,0.8114300871519087
219,9380,0.8114300871519087
220,9400,0.8114300871519087
221,9420,0.8127790279022395
222,9440,0.8127790279022395
223,9460,0.8150467069284563
224,9480,0.8150769317033334
225,9500,0.8150769317033334
226,9520,0.8150769317033334
227,9540,0.8150769317033334
228,9560,0.8150769317033334
229,9580,0.8151027139143942
230,9600,0.8151027139143942
231,9620,0.8151027139143942
232,9640,0.8171018482116932
233,9660,0.8171018482116932
234,9680,0.8171176081562759
235,9700,0.8193309286516842
236,9720,0.8202250703402675
237,9740,0.820299567123119
238,9760,0.820299567123119
239,9780,0.820299567123119
240,9800,0.821900046305115
241,9820,0.821900046305115
242,9840,0.821900046305115
243,9860,0.821900046305115
244,9880,0.821900046305115
245,9900,0.821900046305115
246,9920,0.821900046305115
247,9940,0.8281912746908323
248,9960,0.8281912746908323
249,9980,0.8281923249719888
250,10000,0.8282001786878199
251,10020,0.8282001786878199
252,10040,0.8282001786878199
