,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
3021,0.0007255793869247946,0.0017123035380917054,0.9917760306128878,0.3935727669687887,0.001906458769144916,0.006938160963471326,0.3020806536864737,0.27310900927042664,-0.3184080421924591,0.8335608839988708,1.1254324913024902
3022,0.011314929200247896,0.15156412493542942,0.9998945763879732,0.644156132857171,0.0016073302020625823,0.019511798004794825,0.4847362348742027,0.05850801618016675,-0.836918830871582,0.6814972162246704,1.16337251663208
3023,0.022579023533482255,0.6029357054277662,0.9965888169169661,0.5683957463721373,0.002497069410789498,0.001086373519026951,0.5233247313037507,0.003854984894814041,-0.9914693236351013,0.45461493730545044,1.2014670372009277
3024,0.00016371482040352064,0.000316608171108684,0.9960920015060508,0.3637990996335544,0.0003431024765551303,0.09150018241398934,0.23757104399049306,0.22684489081389875,-0.0909208431839943,0.8639459013938904,1.1132934093475342
3025,0.014899234857903811,0.0011315113974771688,0.25173963178448566,0.6400609567392475,0.0005203086139948106,0.12610048957582484,0.022063861508250793,0.009848861607529631,0.8935680389404297,0.9594022631645203,1.007785677909851
3026,0.0003297188777366711,0.0032485706770402694,0.8961270448560427,0.8958874094594214,2.5942605276031488e-05,0.18642003127060894,0.1394603368780754,0.2731445070406891,0.14670494198799133,0.9059271216392517,1.0797520875930786
3027,0.001223744249152824,0.019785802941813924,0.9942172939182076,0.45244243025080555,0.0006171197540494073,0.33675270607054303,0.2305948248181919,0.0045195735594145,0.00813128799200058,0.8653717637062073,1.114534616470337
3028,0.0002265088158712389,0.5189202332179332,0.9999514014689195,0.612161504060018,0.00038531274778684423,0.009893794452355777,0.5208959328936187,0.010957875178291693,-0.9693204760551453,0.5199823379516602,1.191741943359375
3029,0.0002427854252828232,0.004410045186325724,0.7943350780541906,0.912849031586659,0.01943631866289524,0.02702413166663885,0.2999450900328191,0.8725956007856982,-0.8282931447029114,0.832983672618866,1.0779093503952026
3030,0.0005399136273348875,0.004137539231185337,0.7927767631890971,0.665820377926096,0.00021496623626178789,7.641035078978521e-05,0.1331604516910114,0.6406798890301595,-0.030963830649852753,0.9141377210617065,1.0664411783218384
3031,0.00014078628709097442,0.0009568196503316937,0.759667937232828,0.6697809123289185,0.0004513972612522313,0.007306128392978969,0.123335370564753,0.5909151104054854,0.05237721651792526,0.919919490814209,1.0625708103179932
3032,0.00022790241905612518,0.00044782160766009156,0.9850784610274591,0.39696145769129193,0.00039670568863110897,0.2354980493538298,0.2911760242314223,0.2067892002424126,-0.2936440110206604,0.8368438482284546,1.1239466667175293
3033,0.0006124220030569345,0.0075656945183631965,0.9982718299685795,0.42716778082923357,0.000260272416280462,0.1816115260273219,0.29366599674187976,0.2005426992526991,-0.291768878698349,0.8342019319534302,1.1258175373077393
3034,0.00800257552805959,0.0017428721327501404,0.2753869353273041,0.5494973221947932,0.00040233928296119244,0.3475807716560438,0.04382114015281105,0.0047585184497335314,0.7769078016281128,0.9537347555160522,1.018686294555664
3035,0.00039878823674151665,0.007331570061150506,0.5665012674605902,0.5680030512345013,0.00024403981008423075,0.3088231613469506,0.07005583694688165,0.017972983680964116,0.6339749097824097,0.9409493207931519,1.0419905185699463
3036,0.009779463755364124,0.17251574804814532,0.9997356973410721,0.36228125508657083,4.188928530543252e-05,0.012473935206682246,0.47905905364429147,0.029222453139678056,-0.7682740092277527,0.6842562556266785,1.1638861894607544
3037,3.947795985038605e-05,0.007770621753381673,0.9935393294660951,0.6027079748572409,0.0015760198230513247,0.023148847789452857,0.2640861710018728,0.6894661212168391,-0.5694675445556641,0.8453171253204346,1.1050621271133423
3038,0.0064000891988403655,0.4143898698176228,0.9992000075551558,0.6131624929261197,0.0005751757603322228,0.01742800155953704,0.5065152718113254,0.00797797013189793,-0.9098106026649475,0.5826192498207092,1.1819100379943848
3039,5.699065689500002e-05,0.010879703137492529,0.9991975588547015,0.5751179681062961,0.0013282268906559566,0.006205237294741907,0.3815508809488153,0.2864671127663516,-0.6169809699058533,0.7839775681495667,1.139699935913086
