scenario,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
2,0,0,0,0,0,0,0,0,1.312349455436174,0.9851618502045544,0.9905422005067781
3,0.013853595390761048,0.0034927394045134227,0.36403672746382654,0.7772583574987948,0.18158183198847477,0.01081168796301278,0.4504426516520013,0.015683551380763137,-0.5561487844184908,0.7262104403649801,1.0949398433695439
4,0.00393451361737386,0.16781473154602985,0.42061913339421153,0.6103882764000446,0.08453711559399704,0.22467460866516653,0.32420516663991206,0.23098146958532312,-0.33862665348944204,0.8095287379910362,1.084678730381128
5,0.09241262217442371,0.026084162399286584,0.30096438550390303,0.10486890142783523,0.06418693799828298,0.12102191710201887,0.09049325965930627,0.16793843715045562,0.5412398538914719,0.9055043977488244,1.032454742792516
6,0.3619919911026952,0.2843111665558989,0.14763513137586415,0.8770494337659329,0.10071236705261982,0.1522722572873544,0.010176384794899516,0.04689635866031165,0.5158760469368413,0.7167084279046305,1.019180330835631
7,0.03511398116722204,0.018584554728303445,0.8985749064013362,0.6137124639935791,0.012950066873036544,0.3020345609635061,0.005488025938767049,0.24519426186306706,0.5442647443658353,0.9110035035704414,1.0524634160149462
9,0.43426395913656424,0.24490275977033882,0.9659632979892194,0.5402335585094988,0.12341181555934505,0.12341493749513813,0.12954565143164296,0.6132043642363613,-0.47347287848550157,0.2575395672922194,1.0672522961314592
10,8.027725013757358e-4,0.03510911666884538,0.1410670366603881,0.9938501783180982,0.2246848849543739,0.2744305131883949,0.1705402076122875,0.381102352367077,0.061144514242977684,0.8670102402643709,1.02412921589439
11,0.03277319934422581,0.5629167264298837,0.06535500870086253,0.5722616538405418,0.03043035757837991,0.18825796191675517,0.5469848365564959,0.11615846034085177,-1.029699806630654,0.4616637730335961,1.1199073165664817
12,0.0013503066061276846,0.04249452194050898,0.3972547089215368,0.9045747527852654,0.056598125581496676,0.23468405653599636,0.5554660464797322,0.1997585325637815,-1.0811258974481637,0.650892861675248,1.1007231813790497
13,0.6910570601721936,2.5357497133597944e-5,0.5439967587590218,0.2514761222992093,0.0536946586356242,0.009539741572831096,0.2852118975394864,0.12814657544049482,-0.559129959973135,0.13405734611564435,1.0445942266725483
14,0.12042391729085758,0.32174483065701737,0.879631130490452,0.4494491021614522,0.4635521281542561,0.058438866605057135,0.0059007857101324845,0.055837806621228635,0.5523841592230353,0.7989572783478268,1.052911559230275
